ACC_X,ACC_Y,ACC_Z,ECG,EDA,Temp,Resp,ACC_X_wrist,ACC_Y_wrist,ACC_Z_wrist,BVP,EDA_wrist,Temp_wrist,Stress_Class,Task,SessionPhase,Activity,Subject_ID
0.8805811047633885,0.4515655210542932,0.4387725964885871,0.4833951666134751,0.3326042866750093,0.8373625436616476,0.5360113980346455,0.7616804656546851,0.2081545505867623,0.2481713698108389,0.651410317935467,0.0374534142303257,0.8549802675283832,1,4,0,0,S7
0.880341750891928,0.5071903186605167,0.4095955082725785,0.4607353718569441,0.3350677137696508,0.8381197493238178,0.5672371492142928,0.7648058636165197,0.2033659073863073,0.2637198785600866,0.5090841598438423,0.0315856239891788,0.8541902955109224,1,4,0,0,S7
0.8789198897870094,0.4372781332105385,0.3780774693097202,0.358634015134638,0.3411474636322689,0.8387909717507638,0.5657119233123383,0.7858980002982805,0.2194848236406414,0.2707998311966272,0.5000856862129427,0.0756752219463759,0.8545277074643056,1,4,0,0,S7
0.87970729553543,0.4836237765905157,0.3812667967578637,0.4422466204089896,0.3460447668318474,0.8391930375611777,0.6145967098316076,0.7993142115800964,0.2285447813534585,0.2644461001219345,0.5048537713097813,0.0431385859627306,0.8556526316981439,1,6,0,0,S7
0.87899106316799,0.4940827097168022,0.3710303518891718,0.5053145030315634,0.3463578511368283,0.8394159358648043,0.5304047213668875,0.803205487691199,0.2258150320003311,0.2691393789554261,0.6046488577419775,0.049144262803595,0.8557671585229905,1,6,0,0,S7
0.8745529088611593,0.5077542805560675,0.3464514001392412,0.5413064251563379,0.3467453207317971,0.8395297694657364,0.4877078817794254,0.8043131940349173,0.2307237755985683,0.2692393400837734,0.5237377599371611,0.0649830861035233,0.8550004703286392,1,6,0,0,S7
0.879140150142943,0.5138358732056076,0.3797646860218097,0.4148881099052084,0.3496701039383869,0.8404329987919426,0.6011202153462609,0.7909416483999636,0.220789041799495,0.2684596172663612,0.4903254543841695,0.0304508047923878,0.8529582207660866,1,6,0,0,S7
0.8754206382425657,0.5793103630423235,0.3707392803360202,0.5267767374976571,0.3493840452516026,0.8403949906729888,0.5249065031458037,0.791708431526159,0.2240328713654912,0.2709108608901424,0.5302997655977338,0.0323130706942237,0.8539717657952585,1,6,0,0,S7
0.8787800689447159,0.5271892151076949,0.3807303029279607,0.5581712914545943,0.3526918260811935,0.8410123722388317,0.5433979817179214,0.7895208622403266,0.2207689676680095,0.269211990823523,0.3801056885461715,0.0164052042537963,0.8530138080708191,1,6,0,0,S7
0.8781863212381924,0.5498718972149174,0.3857525031642284,0.4777263049199368,0.3532252467570602,0.8410839057123961,0.5716672706330131,0.7868892503787188,0.2205826734773848,0.2608465240461193,0.6450971430568657,0.0210847002164283,0.8530750459658638,1,6,0,0,S7
0.8779647437037422,0.4824699274215029,0.3640263171725277,0.5479137167502183,0.3528382973695658,0.8412521524422196,0.5445895482142108,0.7938230007003942,0.2264010423258007,0.2630373120552037,0.6150217478281258,0.0153875877942681,0.8520288936928215,1,6,0,0,S7
0.8804887958430929,0.4145553405659996,0.3762516455696572,0.4892421010866008,0.3526483711060496,0.8414959385201268,0.5320434502856224,0.7869779453615858,0.2238215435694726,0.250425363798777,0.5493426311337685,0.0081337465003848,0.8522140069079246,1,6,0,0,S7
0.8756825816288786,0.5080045885462644,0.3511826105756283,0.5163756442128112,0.352971073325954,0.8413242104945902,0.5051295209889042,0.7984943219880464,0.2285388570606981,0.2666609476248338,0.6214967592901364,0.0,0.852579043065459,1,6,0,0,S7
0.8738165832745838,0.5012659112592218,0.3373132125290013,0.5235967420960527,0.352519319555012,0.841350057923038,0.5258147061203077,0.8026170207850821,0.2288623248253873,0.2686197671994622,0.5770886576794978,0.0143990715851064,0.8520258524490089,1,6,0,0,S7
0.8732688346251571,0.4969198815806642,0.3353238218550241,0.5449488759881785,0.3524243242737354,0.8414293647007296,0.5245807289711717,0.8037031115163611,0.2274537801901143,0.2716124911525506,0.5072877934612451,0.0062525200094771,0.8508473115271024,1,6,0,0,S7
0.8767556767024614,0.4226532075532065,0.351003630747033,0.5139054887644408,0.3533160989083728,0.8414521123453232,0.6452129779283592,0.8019559122383613,0.2335328781464025,0.2526069891295163,0.4512724267388256,0.0205950026673483,0.8504341335513036,1,6,0,2,S7
0.8721152139521513,0.4775336531024022,0.326096533425616,0.5002351478768993,0.3548489357066264,0.8413168187023216,0.462926334676537,0.8035122707745196,0.2287926619797974,0.2603606526945684,0.6258368717238615,0.0199446378381746,0.8494528793828017,1,6,0,0,S7
0.871723631256831,0.4377160611404319,0.3283945481286595,0.5477034708386181,0.3552809153735354,0.8411856740007869,0.6000233372084899,0.825656041366976,0.2540100435071214,0.260993441964932,0.5229986637830248,0.0319722539114868,0.8500087218637082,1,6,0,2,S7
0.8752456533580149,0.4022013883801852,0.3279310350535425,0.5057691681742794,0.3559902538553272,0.8412483373236294,0.6483042093156675,0.8074717324350944,0.2195075258055644,0.2501545046755769,0.4779271481852776,0.0341194689744326,0.8497283815838585,1,6,0,2,S7
